taxon	min_age	max_age
greek_amphora_iron_age_-500BCE_16	2430	2470
greek_pelike_iron_age_-450BCE_33	2375	2425
greek_italiote_pelike_iron_age_-400BCE_42	2250	2370
greek_pelike_iron_age_-500BCE_51	2400	2450
greek_italiote_amphora_iron_age_-400BCE_82	2250	2450
greek_italiote_pelike_hellenistic_age_-350BCE_113	2220	2310
greek_amphora_hellenistic_age_-200BCE_227	2100	2150
greek_italiote_amphora_hellenistic_age_-350BCE_235	2275	2325
greek_italiote_amphora_iron_age_-500BCE_269	2425	2450
greek_amphora_hellenistic_age_-250BCE_271	2175	2185
