Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	extinction_rate	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]
0	0	-324.708	-192.2394	-132.4686	953118.1	0.1981793	3048.254	0.0002722784	0.998698	0.999667	1.00033	1.0013	0.1990868	2957.561	2222.725	2325.043	2473.103	2515.781	2243.927	2402.71	2303.106	2321.127	2399.29
1	1	-330.545	-192.2381	-138.3069	382024.3	0.1470111	3089.135	0.0002912427	0.997944	0.999474	1.00052	1.00206	0.1436032	2958.294	2229.462	2289.339	2429.101	2536.12	2301.055	2390.867	2356.712	2346.709	2422.022
2	0	-333.013	-192.2393	-140.7737	441262.7	0.2033778	3015.95	0.0001676687	0.998087	0.999511	1.00049	1.00191	0.2077204	2966.833	2242.836	2281.894	2444.928	2504.012	2256.36	2403.194	2340.484	2343.46	2410.441
3	1	-325.2193	-192.2394	-132.9799	185511.6	0.1432221	3033.657	0.0002311311	0.99705	0.999245	1.00075	1.00295	0.1468684	2954.101	2219.016	2264.17	2459.11	2540.877	2306.028	2403.26	2306.456	2345.815	2395.05
4	0	-331.2382	-192.2394	-138.9987	898402.7	0.2107904	3099.097	0.00022547	0.998659	0.999657	1.00034	1.00134	0.2090727	2961.263	2247.163	2302.106	2453.855	2503.337	2186.329	2400.438	2291.862	2289.838	2394.196
5	1	-332.9261	-192.2394	-140.6867	365034.3	0.134731	3043.07	0.0001312024	0.997897	0.999462	1.00054	1.0021	0.1352991	2970.39	2268.342	2301.094	2441.785	2532.972	2199.73	2400.574	2351.092	2273.553	2381.102
6	0	-332.9306	-192.2394	-140.6912	438004.3	0.2239464	2989.499	0.0001966527	0.99808	0.999509	1.00049	1.00192	0.2203803	2978.384	2248.658	2331.583	2465.98	2541.755	2203.847	2409.435	2285.565	2301.079	2410.02
7	1	-331.953	-192.2394	-139.7136	287958.4	0.1424292	3057.689	9.49163e-05	0.997632	0.999394	1.0006	1.00237	0.1434055	2970.665	2239.02	2300.784	2464.573	2528.728	2167.321	2401.909	2320.644	2343.501	2397.523
8	0	-328.5558	-192.2394	-136.3164	865755.7	0.2272894	2986.538	0.0002942939	0.998634	0.999651	1.00035	1.00137	0.2213212	2971.063	2221.691	2302.785	2441.652	2521.491	2270.698	2395.696	2348.183	2325.146	2404.373
9	1	-330.0842	-192.2394	-137.8448	382397.7	0.1541165	3029.33	0.0001778681	0.997945	0.999474	1.00052	1.00206	0.1548952	2970.255	2261.77	2312.307	2470.789	2525.558	2136.758	2406.782	2259.002	2266.745	2402.484
10	0	-328.358	-192.2395	-136.1185	344992.2	0.2232824	3043.533	0.0001689747	0.997837	0.999446	1.00055	1.00216	0.2245619	2972.016	2274.26	2298.149	2436.221	2521.583	2156.15	2402.418	2293.065	2317.23	2378.614
11	1	-324.778	-192.2394	-132.5386	469265.2	0.152699	3005.468	0.0003994088	0.998145	0.999525	1.00047	1.00186	0.1500796	2958.307	2269.467	2265.332	2433.032	2548.46	2189.821	2399.673	2369.186	2320.766	2424.643
12	0	-325.7626	-192.2394	-133.5232	770208.3	0.2266067	3060.673	0.0002283832	0.998552	0.99963	1.00037	1.00145	0.226693	2974.122	2271.491	2278.87	2465.148	2500.497	2134.339	2400.025	2349.152	2338.567	2422.852
13	1	-329.0684	-192.2408	-136.8277	629804.6	0.1639543	3050.463	0.0002197086	0.998399	0.99959	1.00041	1.0016	0.1642033	2953.748	2274.455	2262.872	2426.502	2546.942	2146.015	2408.219	2355.061	2306.481	2403.118
14	0	-325.4918	-192.2395	-133.2522	803839.5	0.2329632	2992.644	0.0001835265	0.998583	0.999638	1.00036	1.00142	0.2274822	2958.284	2268.884	2290.85	2469.16	2507.123	2141.544	2407.837	2271.18	2328.509	2385.614
15	1	-330.9285	-192.2396	-138.6889	289229.1	0.1748512	3035.15	0.0002897961	0.997637	0.999395	1.0006	1.00236	0.1698293	2956.47	2255.66	2323.953	2470.364	2549.95	2147.759	2391.618	2323.755	2348.683	2420.613
16	0	-335.1275	-192.2392	-142.8883	983970.6	0.2156595	3039.072	0.0004024747	0.998719	0.999672	1.00033	1.00128	0.2200941	2954.19	2269.588	2317.523	2429.448	2502.259	2309.359	2401.909	2319.548	2342.097	2387.382
17	1	-331.4377	-192.2394	-139.1982	157109.8	0.1721966	3075.669	0.0003590815	0.996795	0.999179	1.00082	1.00321	0.1741188	2950.537	2241.232	2335.482	2428.568	2540.755	2160.307	2397.427	2356.232	2277.801	2391.443
