Iteration	Posterior	Likelihood	Prior	alpha_morpho	extinction_rate	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]
0	-324.708	-192.2394	-132.4686	953118.1	0.1981793	3048.254	0.0002722784	0.998698	0.999667	1.00033	1.0013	0.1990868	2957.561	2222.725	2325.043	2473.103	2515.781	2243.927	2402.71	2303.106	2321.127	2399.29
10	-333.013	-192.2393	-140.7737	441262.7	0.2033778	3015.95	0.0001676687	0.998087	0.999511	1.00049	1.00191	0.2077204	2966.833	2242.836	2281.894	2444.928	2504.012	2256.36	2403.194	2340.484	2343.46	2410.441
20	-331.2382	-192.2394	-138.9987	898402.7	0.2107904	3099.097	0.00022547	0.998659	0.999657	1.00034	1.00134	0.2090727	2961.263	2247.163	2302.106	2453.855	2503.337	2186.329	2400.438	2291.862	2289.838	2394.196
30	-332.9306	-192.2394	-140.6912	438004.3	0.2239464	2989.499	0.0001966527	0.99808	0.999509	1.00049	1.00192	0.2203803	2978.384	2248.658	2331.583	2465.98	2541.755	2203.847	2409.435	2285.565	2301.079	2410.02
40	-328.5558	-192.2394	-136.3164	865755.7	0.2272894	2986.538	0.0002942939	0.998634	0.999651	1.00035	1.00137	0.2213212	2971.063	2221.691	2302.785	2441.652	2521.491	2270.698	2395.696	2348.183	2325.146	2404.373
50	-328.358	-192.2395	-136.1185	344992.2	0.2232824	3043.533	0.0001689747	0.997837	0.999446	1.00055	1.00216	0.2245619	2972.016	2274.26	2298.149	2436.221	2521.583	2156.15	2402.418	2293.065	2317.23	2378.614
60	-325.7626	-192.2394	-133.5232	770208.3	0.2266067	3060.673	0.0002283832	0.998552	0.99963	1.00037	1.00145	0.226693	2974.122	2271.491	2278.87	2465.148	2500.497	2134.339	2400.025	2349.152	2338.567	2422.852
70	-325.4918	-192.2395	-133.2522	803839.5	0.2329632	2992.644	0.0001835265	0.998583	0.999638	1.00036	1.00142	0.2274822	2958.284	2268.884	2290.85	2469.16	2507.123	2141.544	2407.837	2271.18	2328.509	2385.614
80	-335.1275	-192.2392	-142.8883	983970.6	0.2156595	3039.072	0.0004024747	0.998719	0.999672	1.00033	1.00128	0.2200941	2954.19	2269.588	2317.523	2429.448	2502.259	2309.359	2401.909	2319.548	2342.097	2387.382
90	-327.924	-192.2394	-135.6845	161152.3	0.2100319	3079.053	0.0003516514	0.996835	0.999189	1.00081	1.00317	0.2079535	2951.335	2274.408	2260.15	2451.04	2524.942	2179.147	2400.318	2339.485	2320.735	2402.014
100	-333.8944	-192.2394	-141.655	240501.6	0.2072153	2984.466	0.0002816674	0.997409	0.999337	1.00066	1.00259	0.2043871	2959.08	2239.084	2291.017	2435.923	2549.033	2260	2409.805	2349.242	2293.408	2418.993
110	-329.2347	-192.2394	-136.9952	919390.7	0.2001147	3096.243	0.0002963998	0.998675	0.999661	1.00034	1.00133	0.1995414	2974.24	2272.97	2349.592	2433.668	2527.392	2229.386	2401.304	2294.819	2296.298	2385.498
120	-333.7765	-192.2394	-141.537	413385.6	0.1994676	3091.617	0.0001249202	0.998024	0.999494	1.0005	1.00198	0.1953809	2975.005	2217.645	2302.168	2456.407	2516.253	2128.622	2405.78	2334.865	2287.188	2409.462
130	-329.772	-192.2394	-137.5326	452363.3	0.1890491	3002.817	0.0001498069	0.998111	0.999517	1.00048	1.00189	0.1883938	2960.402	2270.436	2262.327	2430.866	2515.181	2151.554	2400.4	2365.154	2292.298	2402.524
140	-328.7733	-192.2394	-136.5338	226758.8	0.1855491	3046.394	0.0002012401	0.997332	0.999317	1.00068	1.00267	0.1841456	2965.068	2235.5	2317.426	2463.566	2541.023	2159.333	2404.248	2329.377	2279.135	2410.152
150	-331.2557	-192.2394	-139.0163	178229.5	0.1845525	3009.4	0.0002035127	0.996991	0.999229	1.00077	1.00301	0.1886725	2972.571	2269.826	2325.057	2436.477	2527.05	2178.904	2408.491	2298.777	2253.602	2398.092
160	-332.6738	-192.2394	-140.4343	622117.6	0.1790514	3086.892	0.0002660124	0.998389	0.999588	1.00041	1.00161	0.1808661	2978.173	2228.234	2321.953	2464.557	2518.021	2171.095	2398.433	2351.472	2320.32	2402.039
170	-321.5235	-192.2393	-129.2842	192634.1	0.1668134	3040.497	0.0002334331	0.997105	0.999259	1.00074	1.0029	0.1713726	2964.111	2274.797	2342.98	2427.706	2511.814	2159.349	2397.615	2289.062	2255.468	2401.41
180	-329.1837	-192.2394	-136.9443	466263.7	0.169961	3067.025	0.0003030347	0.998139	0.999524	1.00047	1.00186	0.1726911	2971.278	2244.706	2299.835	2429.868	2529.666	2218.114	2402.512	2304.617	2283.178	2396.811
190	-332.083	-192.2394	-139.8435	572496.7	0.1721597	3068.615	0.0003326543	0.998321	0.99957	1.00043	1.00168	0.1740858	2961.528	2262.481	2321.808	2461.173	2536.101	2176.793	2400.065	2349.801	2326.876	2398.839
200	-329.907	-192.2394	-137.6676	275866.9	0.1762431	3034.883	0.0003301881	0.997581	0.999381	1.00062	1.00242	0.1739441	2952.411	2216.705	2301.732	2467.451	2507.302	2318.819	2393.17	2303.009	2349.084	2414.157
210	-332.08	-192.2394	-139.8406	78812.8	0.1727061	3086.351	0.0004168665	0.995476	0.99884	1.00115	1.00453	0.1715809	2956.504	2211.776	2341.495	2429.546	2529.999	2256.498	2398.544	2313.157	2268.06	2388.15
220	-327.2517	-192.2394	-135.0123	319928.3	0.1716808	3019.818	0.0002744669	0.997754	0.999425	1.00057	1.00225	0.1721761	2957.985	2274.57	2294.358	2434.28	2502.637	2138.221	2407.169	2294.641	2293.404	2424.667
230	-335.1679	-192.2481	-142.9198	86561.58	0.1681773	3085.249	5.015907e-05	0.995683	0.998893	1.0011	1.00432	0.1684155	2952.536	2225.823	2349.55	2446.846	2532.185	2154.44	2409.757	2267.689	2344.254	2421.217
240	-333.8202	-192.2394	-141.5807	336990.6	0.1685255	2993.472	0.0003770424	0.997811	0.99944	1.00056	1.00219	0.1692012	2950.606	2228.846	2270.749	2436	2516.779	2153.733	2409.574	2324.507	2307.125	2414.841
250	-329.0642	-192.2394	-136.8248	927945.7	0.1757779	2997.082	0.0002973284	0.998681	0.999663	1.00034	1.00132	0.1797406	2956.786	2233.455	2322.154	2450.306	2546.957	2320.309	2400.965	2358.682	2308.518	2393.003
260	-328.6113	-192.2392	-136.3721	593490.7	0.1825977	3097.224	0.0001973601	0.998351	0.999578	1.00042	1.00165	0.1865541	2966.372	2260.334	2346.955	2445.145	2501.36	2288.427	2406.397	2314.554	2318.124	2397.727
270	-328.5041	-192.2394	-136.2647	772719.5	0.1970092	3002.586	0.0001521894	0.998554	0.99963	1.00037	1.00145	0.1927092	2966.407	2215.324	2336.927	2460.589	2529	2300.51	2409.043	2271.653	2318.065	2388.619
280	-328.3112	-192.2394	-136.0717	48047.91	0.1832972	3050.35	0.0001965573	0.994207	0.998513	1.00148	1.0058	0.185605	2972.087	2238.303	2322.038	2448.965	2500.552	2153.443	2400.808	2275.661	2321.553	2393.273
290	-333.089	-192.2394	-140.8495	586293.6	0.1848733	2989.744	0.0001817326	0.99834	0.999576	1.00042	1.00166	0.1843504	2975.645	2257.143	2311.387	2462.779	2524.999	2195.577	2402.221	2341.29	2309.847	2406.963
300	-328.1653	-192.2394	-135.9258	800764.4	0.1822502	3048.286	0.0001874135	0.99858	0.999637	1.00036	1.00142	0.1835156	2969.329	2229.222	2339.105	2462.273	2506.41	2129.201	2401.745	2336.818	2345.432	2418.819
310	-327.1731	-192.2394	-134.9337	384711.2	0.1703123	3013.892	0.0003000722	0.997951	0.999476	1.00052	1.00205	0.1760128	2956.412	2220.345	2303.754	2432.444	2508.935	2273.04	2407.162	2299.811	2345.807	2403.747
320	-326.8978	-192.2392	-134.6586	302539	0.1742926	2998.332	0.0002416349	0.99769	0.999409	1.00059	1.00231	0.1747322	2973.806	2234.294	2344.028	2465.188	2500.658	2258.246	2403.195	2270.647	2298.293	2412.358
330	-333.6463	-192.2394	-141.4069	75855.22	0.1661751	3034.416	0.000140206	0.995389	0.998817	1.00118	1.00462	0.1682241	2977.023	2243.553	2330.615	2468.709	2513.064	2271.457	2406.026	2343.498	2334.437	2383.26
340	-329.188	-192.2394	-136.9485	712226.9	0.1669103	3061.267	0.0001575867	0.998494	0.999615	1.00038	1.00151	0.1646605	2950.552	2263.416	2290.692	2455.638	2504.082	2175.337	2396.272	2318.229	2315.108	2389.261
350	-328.6985	-192.2394	-136.459	437263.2	0.1576428	3080.003	0.0001003938	0.998078	0.999508	1.00049	1.00192	0.1560984	2960.442	2218.076	2277.928	2456.436	2529.332	2178.216	2399.337	2352.658	2313.853	2415.607
360	-324.198	-192.2394	-131.9586	46258.17	0.1527416	3096.089	0.0002333301	0.994096	0.998484	1.0015	1.00592	0.1544685	2978.855	2250.899	2319.888	2455.885	2509.347	2138.001	2393.139	2343.696	2316.888	2419.935
370	-329.0786	-192.2394	-136.8391	3829.375	0.1519085	3024.051	0.0001623811	0.979534	0.994679	1.00517	1.02061	0.1489695	2954.513	2242.37	2297.875	2430.986	2509.176	2130.749	2400.104	2324.29	2277.268	2422.777
380	-330.2208	-192.2888	-137.9319	48989.88	0.1542284	3027.459	0.0002344689	0.994263	0.998527	1.00146	1.00575	0.1487391	2976.522	2217.085	2322.979	2462.47	2528.565	2241.508	2403.252	2312.101	2312.828	2395.489
390	-334.6367	-192.2394	-142.3972	39874.34	0.1493967	3091.922	0.0001308756	0.993642	0.998367	1.00162	1.00637	0.15148	2977.092	2269.755	2300.552	2434.626	2531.841	2132.632	2399.725	2343.615	2306.183	2394.3
400	-331.1805	-192.2394	-138.941	523222.1	0.1535413	3090.579	0.0002073082	0.998243	0.999551	1.00045	1.00176	0.1505034	2962.89	2264.704	2318.353	2472.482	2522.487	2188.829	2403.68	2352.77	2324.411	2410.441
410	-331.2048	-192.2394	-138.9654	820187.6	0.1544165	3044.709	0.000157224	0.998597	0.999641	1.00036	1.0014	0.1551691	2971.855	2264.455	2300.537	2470.748	2525.354	2133.43	2390.191	2290.884	2289.912	2417.39
420	-328.7673	-192.2394	-136.5279	536540.5	0.1601513	3037.644	0.0003087757	0.998265	0.999556	1.00044	1.00174	0.1594512	2970.217	2257.686	2327.994	2443.471	2501.49	2138.093	2395.049	2325.367	2310.8	2382.95
430	-333.7564	-192.2394	-141.5169	63464.78	0.1528468	3065.39	0.0001977064	0.994959	0.998707	1.00128	1.00505	0.1538032	2978.758	2268.441	2301.551	2427.816	2537.75	2170.366	2408.386	2365.643	2268.278	2379.855
440	-334.2478	-192.2394	-142.0084	229820.6	0.1545795	3059.962	0.0001595235	0.99735	0.999322	1.00068	1.00265	0.1558623	2952.513	2216.595	2344.044	2448.819	2508.685	2304.736	2397.256	2362.073	2340.916	2412.743
450	-330.358	-192.2394	-138.1185	965352.9	0.1514829	3020.178	0.0001565177	0.998707	0.999669	1.00033	1.00129	0.1474145	2958.719	2217.501	2264.143	2425.851	2507.808	2318.842	2400.149	2349.924	2349.287	2395.665
460	-325.6669	-192.2375	-133.4294	379717.8	0.1565064	3037.987	0.0002948551	0.997938	0.999472	1.00053	1.00206	0.1531029	2967.785	2267.927	2295.218	2450.356	2508.175	2134.189	2394.673	2315.87	2306.631	2378.434
470	-327.9693	-192.2394	-135.7299	439638.7	0.1408448	3005.088	0.0001168202	0.998084	0.99951	1.00049	1.00192	0.1424201	2950.951	2268.913	2314.915	2451.568	2540.857	2214.358	2395.449	2307.171	2274.941	2376.861
480	-331.4583	-192.2394	-139.2189	412199.5	0.1311262	2993.333	0.0004350665	0.998021	0.999494	1.0005	1.00198	0.1339229	2959.076	2217.723	2313.737	2429.216	2540.686	2140.437	2395.126	2256.014	2250.957	2389.297
490	-319.3351	-192.2385	-127.0965	734639.2	0.1292295	3038.977	0.0003974239	0.998517	0.999621	1.00038	1.00148	0.1328103	2957.575	2231.719	2346.971	2471.069	2518.497	2241.708	2406.963	2298.625	2297.691	2402.945
